,類別 1: 直接溫室氣體排放和移除,適用廠別,排放源,排放源可能產生溫室氣體種類,,,,,,
,,,,CO2,CH4,N2O,HFCs,PFCs,SF6,NF3
1.1,固定燃燒直接排放,中壢一廠/中壢二廠/中壢三廠/中壢五廠/台中廠/台南一廠/平鎮廠/桃二廠/桃三廠/桃五廠/興華廠,發電機柴油,V,V,V,,,,
,,桃園廠/桃二廠/桃三廠/桃五廠/中壢一廠/中壢五廠/平鎮廠/興華廠,宿舍、廚房天然氣,V,V,V,,,,
,,中壢二廠/台中廠/台南一廠,廚房液化石油氣,V,V,V,,,,
1.2,移動燃燒直接排放,台南一廠,汽油,V,V,V,,,,
,,中壢五廠/平 鎮廠/桃二廠/桃三廠/桃園廠,柴油,V,V,V,,,,
1.3,工業製程之直接製程排放及移除,台南一廠,乙炔,V,,,,,,
1.4,人為系統中溫室氣體釋放產生的直接逸散排放,中壢一廠/中 壢二廠/中壢三廠/中壢五廠/台中廠/台南一廠/平鎮廠/ 桃二廠/桃三廠/桃五廠/興華廠,化糞池水肥,,V,,,,,
,,中壢一廠/中 壢二廠/中壢三廠/中壢五廠/台中廠/台南一廠/平鎮廠/ 桃二廠/桃三廠/桃五廠/興華廠,CO2 滅火器,V,,,,,,
,,桃三廠桃園廠/瑞光大樓/興華廠,R22,,,,V,,,
,,中壢五廠/瑞光大樓,R32,,,,V,,,
,,桃二廠,R125,,,,V,,,
,,桃三廠,R43,,,,V,,,
,,中壢一廠/中壢二廠/中壢三廠/中壢五廠/台中廠/台南一廠/平鎮廠/ 桃二廠/桃三廠/桃五廠/桃園廠/興華廠/陽光大樓/瑞光大樓,R134A,,,,V,,,
,,中壢一廠/桃三廠/桃五廠/瑞光大樓,R123,,,,V,,,
,,中壢一廠/中壢二廠/中壢三廠/台中廠/台南一廠/平鎮廠/桃三廠/桃五廠/桃園廠/陽光大樓,R410A,,,,V,,,
,,中壢五廠/台中廠/桃五廠/中壢一廠/中 壢二廠/中壢五廠/台南一廠/平鎮廠/桃二廠/桃三廠/桃五廠/興華廠,R23,,,,V,,,
,,中壢一廠/中壢二廠/中壢 五廠/台南一廠/平鎮廠/桃二廠/桃三廠/桃五廠/桃園廠/興華廠,R404A,,,,V,,,
,,瑞光大樓,R401A,,,,V,,,
,,台中廠/桃二廠/桃三廠/桃五廠/桃園廠/,R407C,,,,V,,,
,,中壢五廠,R417A,,,,V,,,
,,台南一廠,R408B,,,,V,,,
,,中壢一廠/中壢二廠/中壢 五廠/台中廠/台南一廠/平鎮廠/桃二廠/桃三廠,R507A,,,,V,,,
,,中壢一廠/平鎮廠,R508A,,,,V,,,
,,平鎮廠,R508A,,,,V,,,
1.5,土地利用變更和森林(LULUCF)的直接排放和移除,無,,,,,,,,
